No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"B1.3.3","","","分表示","Minutes Display Unit","others","countdown_unit","","","false","","","","","","Mục đích: Ô hiển thị số phút còn lại trong bộ đếm ngược.
Hiển thị: 2 chữ số số phút còn lại; nhãn 'MINUTES'.
Chức năng: Tự cập nhật khi thời gian giảm (theo phút).","","","","","",""
"B2","","","イベント情報","Event Info (Time and Location)","others","info_block","","","false","","","","","","Mục đích: Hiển thị thông tin cơ bản sự kiện: thời gian; địa điểm và ghi chú phát sóng trực tiếp.
Hiển thị: Nhãn 'Thời gian:' / 'Địa điểm:'; giá trị '26/12/2025' / 'Âu Cơ Art Center'; ghi chú 'Tường thuật trực tiếp qua sóng Livestream'.
Chức năng: Static; chỉ hiển thị; responsive tự xuống hàng khi màn nhỏ.","","","","","","- Thông tin sự kiện (thời gian; địa điểm) lấy từ đâu (env var; CMS; DB)?
- Link Livestream có đi kèm không?"
"B3","","","CTAボタングループ","Call-To-Action Button Group","button","","text_link","","false","","","","","","Mục đích: Nhóm 2 nút CTA chính trong hero section.
Hiển thị: 'ABOUT AWARDS' (nút vàng; hover state); 'ABOUT KUDOS' (nút viền; normal state); cả 2 nút thay đổi state giống nhau.
Chức năng: Click → điều hướng đến trang tương ứng.","on_click","Click ABOUT AWARDS → Awards Information; Click ABOUT KUDOS → Sun* Kudos","","","",""
"B3.1","","","About Awardsボタン","ABOUT AWARDS Button","button","","icon_text","","false","","","","","","Mục đích: Nút CTA 'ABOUT AWARDS' trong hero section.
Hiển thị: Nút vàng với text 'ABOUT AWARDS' và icon mũi tên; hover state.
Chức năng: Click → Awards Information; state normal giống B3.2.","on_click","Điều hướng đến trang Awards Information","","","",""
"B3.2","","","About Kudosボタン","ABOUT KUDOS Button","button","","icon_text","","false","","","","","","Mục đích: Nút CTA 'ABOUT KUDOS' trong hero section.
Hiển thị: Nút viền với text 'ABOUT KUDOS' và icon mũi tên; normal state.
Chức năng: Click → Sun* Kudos; state hover giống B3.1.","on_click","Điều hướng đến trang Sun* Kudos","","","",""
"B4","","","ルートファーザーコンテンツ","Root Further Description Content","others","info_block","","","false","","","","","","Mục đích: Đoạn mô tả 'Root Further' giải thích tinh thần chương trình SAA 2025 ngay dưới hero section.
Hiển thị: Văn bản mô tả nhiều đoạn; màu sáng trên nền tối; font kích thước trung bình.
Chức năng: Hiển thị tĩnh; responsive tự xuống dòng và co lại trên màn hình nhỏ.","","","","","","- Nội dung đoạn mô tả là static hay lấy từ CMS?"
"B4","5001:14827","mms_B4_content","ルートファーザーコンテンツブロック","Root Further Content Block","others","info_block","","","","","","","","","Mục đích: Content block mô tả chủ đề 'Root Further' của SAA 2025.
Hiển thị: Text trang trí lớn 'ROOT' / 'FURTHER' làm nền; các đoạn văn mô tả; câu trích dẫn 'A tree with deep roots fears no storm'; text trắng trên nền tối.
Chức năng: Hiển thị tĩnh; responsive text tự wrap và thu nhỏ trên màn hình nhỏ.","","","","","",""
"C1","","","賞セクションヘッダー","Awards Section Header","others","info_block","","","false","","","","","","Mục đích: Tiêu đề section giới thiệu hệ thống giải thưởng SAA 2025.
Hiển thị: Caption nhỏ 'Sun* annual awards 2025'; tiêu đề lớn 'Hệ thống giải thưởng'; mô tả phụ 'Các hạng mục sẽ được trao giải theo TOP những người xuất sắc nhất.'.
Chức năng: Hiển thị tĩnh; không tương tác.","","","","","",""
"C2","","","賞一覧","Award List","others","card","","","false","","","","","","Mục đích: Danh sách hạng mục giải thưởng hiển thị dạng lưới thẻ trên trang chủ.
Hiển thị: Ảnh vuông + hiệu ứng vòng sáng; tiêu đề hạng mục; mô tả 1-2 dòng; link 'Chi tiết'; layout responsive.
Chức năng: Click ảnh/tiêu đề/'Chi tiết' → Awards Information#slug; hover → lift + glow; Mobile/Tablet: 2 cột; Desktop: 3 cột.","on_click","Awards Information với hashtag slug hạng mục","","","","- Slug của từng hạng mục được sinh ra như thế nào?
- Số lượng hạng mục là cố định (6) hay có thể mở rộng từ DB?"
"C2","5005:14974","mms_C2_Award list","賞グリッド","Award List Grid","others","card","","","","","","","","","Mục đích: Grid 6 thẻ giải thưởng hiển thị trong 2 hàng 3 cột.
Hiển thị: 3 cột (desktop); 2 cột (tablet); 1 cột (mobile); mỗi thẻ: thumbnail + tiêu đề + mô tả + link 'Chi tiết'.
Chức năng: Click bất kỳ element trong card → Awards Information với hash anchor; hover → lift + glow; xem C2.1 đến C2.6.","on_click","Awards Information với hash anchor hạng mục","","","",""
"C2.1","","","トップタレントカード","Top Talent Award Card","others","card","","","false","","","","","","Mục đích: Thẻ hiển thị hạng mục giải thưởng 'Top Talent'.
Hiển thị: Ảnh graphic vuông (phần trên); tiêu đề 'Top Talent'; mô tả 'Vinh danh top cá nhân xuất sắc trên mọi phương diện'; link 'Chi tiết'.
Chức năng: Click ảnh/tiêu đề/'Chi tiết' → Awards Information#top-talent; hover → lift + glow.","on_click","Awards Information#top-talent","","","",""
"C2.1.1","","","トップタレント賞画像","Top Talent Award Picture","others","card","","","false","","","","","","Mục đích: Ảnh thumbnail hạng mục 'Top Talent' trong lưới giải thưởng.
Hiển thị: Hình vuông bo góc; viền mảnh màu vàng; hiệu ứng ánh sáng; tiêu đề/mô tả hiển thị bên dưới (ngoài vùng ảnh).
Chức năng: Click → Awards Information#top-talent; hover → lift + glow; không có trạng thái input; luôn enabled.","on_click","Awards Information#top-talent","","","","- Ảnh được lưu ở đâu (static asset; Supabase Storage)?"
"C2.1.2","","","トップタレント名","Top Talent (Award Name Label)","label","","","","false","","","","","","Mục đích: Hiển thị tên hạng mục giải thưởng 'Top Talent'.
Hiển thị: Text label tên hạng mục.
Chức năng: Click → Awards Information#top-talent.","on_click","Awards Information#top-talent","","","",""
"C2.1.3","","","トップタレント説明","Top Talent Description","label","","","","false","","","","","","Mục đích: Dòng mô tả ngắn về hạng mục 'Top Talent'.
Hiển thị: Text mô tả; tối đa 2 dòng; truncate với dấu ba chấm nếu quá dài.
Chức năng: Hiển thị tĩnh; không tương tác.","","","","","","- maxLength của mô tả hạng mục là bao nhiêu ký tự?"
"C2.1.4","","","詳細ボタン（トップタレント）","Detail Button (Top Talent)","button","","icon_text","","false","","","","","","Mục đích: Nút 'Chi tiết' mở trang thông tin chi tiết hạng mục Top Talent.
Hiển thị: Text 'Chi tiết' kèm icon mũi tên.
Chức năng: Click → Awards Information#top-talent.","on_click","Awards Information#top-talent","","","",""
"C2.2","","","トッププロジェクトカード","Top Project Award Card","others","card","","","false","","","","","","Mục đích: Thẻ hiển thị hạng mục giải thưởng 'Top Project'.
Hiển thị: Ảnh graphic vuông; tiêu đề 'Top Project'; mô tả; link 'Chi tiết'.
Chức năng: Click → Awards Information#top-project; hover → lift + glow.","on_click","Awards Information#top-project","","","",""
"C2.3","","","トッププロジェクトリーダーカード","Top Project Leader Award Card","others","card","","","false","","","","","","Mục đích: Thẻ hiển thị hạng mục giải thưởng 'Top Project Leader'.
Hiển thị: Ảnh graphic vuông; tiêu đề 'Top Project Leader'; mô tả; link 'Chi tiết'.
Chức năng: Click → Awards Information#top-project-leader; hover → lift + glow.","on_click","Awards Information#top-project-leader","","","",""
"C2.4","","","ベストマネージャーカード","Best Manager Award Card","others","card","","","false","","","","","","Mục đích: Thẻ hiển thị hạng mục giải thưởng 'Best Manager'.
Hiển thị: Ảnh graphic vuông; tiêu đề 'Best Manager'; mô tả; link 'Chi tiết'.
Chức năng: Click → Awards Information#best-manager; hover → lift + glow.","on_click","Awards Information#best-manager","","","",""
"C2.5","","","シグネチャー2025クリエイターカード","Signature 2025 Creator Award Card","others","card","","","false","","","","","","Mục đích: Thẻ hiển thị hạng mục giải thưởng 'Signature 2025 - Creator'.
Hiển thị: Ảnh graphic vuông; tiêu đề 'Signature 2025 - Creator'; mô tả; link 'Chi tiết'.
Chức năng: Click → Awards Information#signature-2025-creator; hover → lift + glow.","on_click","Awards Information#signature-2025-creator","","","",""
"C2.6","","","MVPカード","MVP Award Card","others","card","","","false","","","","","","Mục đích: Thẻ hiển thị hạng mục giải thưởng 'MVP (Most Valuable Person)'.
Hiển thị: Ảnh graphic vuông; tiêu đề 'MVP (Most Valuable Person)'; mô tả; link 'Chi tiết'.
Chức năng: Click → Awards Information#mvp; hover → lift + glow.","on_click","Awards Information#mvp","","","",""
"D1","","","Sun*クドスプロモブロック","Sun* Kudos Promo Block","others","card","","","false","","","","","","Mục đích: Khối quảng bá 'Sun* Kudos' với tiêu đề; mô tả ngắn và nút hành động.
Hiển thị: Label 'Phong trào ghi nhận'; tiêu đề 'Sun* Kudos'; đoạn mô tả tóm tắt; button 'Chi tiết' kèm icon; logo KUDOS.
Chức năng: Click 'Chi tiết' → trang chi tiết Sun* Kudos.","on_click","Mở trang chi tiết Sun* Kudos","","","",""
"D2","","","Sun*クドスコンテンツブロック","Sun* Kudos Content Block","others","info_block","","","false","","","","","","Mục đích: Khối thông tin quảng bá Sun* Kudos kèm ảnh minh họa và nút CTA.
Hiển thị: Tiêu đề 'Sun* Kudos'; dòng mô tả nhỏ 'Phong trào ghi nhận'; nội dung mô tả chiến dịch; ảnh/nền minh họa bên phải; nút 'Chi tiết'.
Chức năng: Click 'Chi tiết' → tab Sun* Kudos.","on_click","Dẫn đến trang chi tiết tab Sun* Kudos","","","","- Nội dung mô tả là static hay lấy từ CMS?"
"D2.1","","","詳細ボタン（Sun*クドス）","Detail Button (Sun* Kudos)","button","","icon_text","","false","","","","","","Mục đích: Nút 'Chi tiết' mở trang chi tiết Sun* Kudos.
Hiển thị: Text 'Chi tiết' kèm icon mũi tên.
Chức năng: Click → mở tab Sun* Kudos.","on_click","Mở tab Sun* Kudos","","","",""
